대사창 기본 정보  ,,,,"출력 시점(1=스테이지 시작, 2= 보스 등장 직전, 3=보스 처치 후)  Id 구분(1000001 ~ 1199999 = 일반 대사, 1200001 ~ 1299999 = 튜토리얼, 1300001 ~ 1399999= 그외 대사)",,,,,,,
아이디,다음 대사 아이디,등장 스테이지,출력 시점,캐릭터,대사,캐릭터 스탠딩 이미지,일반 CG,작은 CG,배경,SFX,BGM
1000013,1000014,130020,2,도로시아,이건… 저 시체는 장난끼가 많던 밥 아저씨?,Dorothia_01,Bob_00,,CitySide,,
1000014,1000015,130020,2,밥 아저씨?,…밥…,Bob_01,,,CitySide,,
1000015,1000016,130020,2,도로시아,밥 아저씨?,Dorothia_01,,,CitySide,,
1000016,1000017,130020,2,밥 아저씨?,X밥 허접… 견습 기사. 아직도 정규직도 못한…,Bob_01,,,CitySide,,
1000017,1000018,130020,2,도로시아,죽어서도 저를 놀리는 건가요?,Dorothia_01,,,CitySide,,
1000018,,130020,2,밥 아저씨?,그어어어… !,Bob_01,,,CitySide,,
1000019,1000020,130020,3,도로시아,"아니, 그보다 어떻게 죽은 자가 말을 할 수 있는 거죠?",Dorothia_01,,,CitySide,,
1000020,1000021,130020,3,데우스 엑스 마키나,"죽음의 재능, 생전의 강렬한 기억 등이 죽은 자가 전생의 행동을 모방할 수 있도록 하느니라.",Deus_01,,,CitySide,,
1000021,1000022,130020,3,밥 아저씨?,X밥… 허접…,Bob_01,,,CitySide,,
1000022,1000023,130020,3,도로시아,밥 아저씨가 X밥 아저씨가 됐잖아요.,Dorothia_01,,,CitySide,,
1000023,1000024,130020,3,데우스 엑스 마키나,아직 신경의 자극이 덜 돼서 그런 것 같군. 그에게 좀 더 자극이 될 단어를 들려주거라.,Deus_01,,,CitySide,,
1000024,1000025,130020,3,도로시아,당신은 이제 걸어다니는 시체에 불과한 패배자야.,Dorothia_01,,,CitySide,,
1000025,1000026,130020,3,밥 아저씨?,그어어…?,Bob_01,,,CitySide,,
1000026,1000027,130020,3,데우스 엑스 마키나,도발은 하지 말고.,Deus_01,,,CitySide,,
1000027,1000028,130020,3,도로시아,밥 아저씨? 신디는 기억나죠? 신디는 어디에 두고 여기에 계신 거예요?,Dorothia_01,,,CitySide,,
1000028,1000029,130020,3,밥 아저씨?,…신…디…,Bob_01,,,CitySide,,
1000029,1000030,130020,3,도로시아,아저씨 따님이요!,Dorothia_01,,,CitySide,,
1000030,1000031,130020,3,,좀비는 더 이상 말하지 않고 그저 어딘가를 하염없이 바라보았다. 그것만으로 충분했다.,Bob_01,,,CitySide,,
1000031,1000032,130020,3,도로시아,시계탑으로 갔군요! 알겠어요.,Dorothia_01,,,CitySide,,
1000032,1000033,130020,3,밥 아저씨?,부...부...,Bob_01,,,CitySide,,
1000033,1000034,130020,3,도로시아,부탁한다고요? 신디는 제가 꼭 지켜줄게요!,Dorothia_01,,,CitySide,,
1000034,1000035,130020,3,밥 아저씨?,붸에에에...,Bob_01,,,CitySide,,
1000035,,130020,3,도로시아,그러면 안녕히...,Dorothia_01,,,CitySide,,
1000036,1000037,130040,1,도로시아,생각해보니까 시계탑 아래에 작은 쪽문이 하나 있었어요.,Dorothia_01,,,CitySide,,
1000037,1000038,130040,1,도로시아,대피를 하지 못한 사람들은 전부 시계탑 안으로 몸을 숨겼을 거예요.,Dorothia_01,,,CitySide,,
1000038,1000039,130040,1,데우스 엑스 마키나,어째서 그들이 시계탑 안에 있을 거라 생각하느냐?,Deus_01,,,CitySide,,
1000039,1000040,130040,1,도로시아,그야… 시계탑은 론도니아의 내성과 가장 가까운 대형 건물이니까요.,Dorothia_01,,,CitySide,,
1000040,1000041,130040,1,도로시아,만약 피난민들이 내성에 받아들여지지 않았다면 몸을 피할 곳은 시계탑뿐이에요.,Dorothia_01,,,CitySide,,
1000041,1000042,130040,1,데우스 엑스 마키나,명석한 추리구나.,Deus_01,,,CitySide,,
1000042,1000043,130040,1,도로시아,그러니 신디도 시계탑에 있을 확률이 높아요. 빨리 시계탑으로 가서…,Dorothia_01,,,CitySide,,
1000043,1000044,130040,1,검은 실루엣의 남자,지금 시계탑으로 가는 것은 그리 추천드리지 않는군요.,Nemo_00,,,CitySide,,
1000044,1000045,130040,1,도로시아,누구…?,Dorothia_01,,,CitySide,,
1000045,1000046,130040,1,네모,저는 네모라고 합니다. 부족하지만 시크릿 3라는 곳에 몸을 담고 있습니다.,Nemo_01,,,CitySide,,
1000046,1000047,130040,1,도로시아,시크릿3라면… 제국의 첩보기관…?,Dorothia_01,,,CitySide,,
1000047,1000048,130040,1,도로시아,선배님들도 평생 얼굴 보기 힘들다고 했는데…,Dorothia_01,,,CitySide,,
1000048,1000049,130040,1,네모,반응을 보니 증기 기사단의 견습 기사 도로시아님이 맞는 모양이군요.,Nemo_01,,,CitySide,,
1000049,1000050,130040,1,도로시아,"네, 제가 제3 수도방위 중갑부대, 증기 기사단의 견습 기사 도로시아 렘넌트입니다.",Dorothia_01,,,CitySide,,
1000050,1000051,130040,1,네모,반갑습니다. 미스 렘넌트. 초면부터 이런 말을 전하게 되어 정말 유감입니다.,Nemo_01,,,CitySide,,
1000051,1000052,130040,1,도로시아,그게 무슨 말이죠?,Dorothia_01,,,CitySide,,
1000052,1000053,130040,1,네모,약 30분 전에 남부 교두보에서 증기 기사단원 전원이 전사한 것을 확인했습니다.,Nemo_01,,,CitySide,,
1000053,1000054,130040,1,도로시아,네? 말도 안 돼요! 선배님들이 고작 이 정도 일로...,Dorothia_01,,,CitySide,,
1000054,1000055,130040,1,네모,"예, 만전의 상태라면 그랬겠지요. 하지만 누군가는 부족한 시간을 벌어야만 했습니다.",Nemo_01,,,CitySide,,
1000055,1000056,130040,1,네모,그들 덕분에 수도의 병력이 제대로 정비할 시간을 벌게 됐습니다.,Nemo_01,,,CitySide,,
1000056,1000057,130040,1,도로시아,영웅적인 희생이었군요. 그런데 이게 시계탑에 가지 않는 것과 무슨 상관인가요?,Dorothia_01,,,CitySide,,
1000057,1000058,130040,1,네모,"수도방위 병력의 정비는 가능했지만, 현재 병력으로는 내성 방어가 한계입니다.",Nemo_01,,,CitySide,,
1000058,1000059,130040,1,도로시아,그 말은…,Dorothia_01,,,CitySide,,
1000059,1000060,130040,1,네모,황실은 북부의 증원군이 올 때까지 외성을 버리기로 결정했습니다.,Nemo_01,,,CitySide,,
1000060,1000061,130040,1,도로시아,하지만 아직 시계탑에 사람이 있는데요.,Dorothia_01,,,CitySide,,
1000061,1000062,130040,1,네모,"미스 렘넌트, 확신할 수 있습니까?",Nemo_01,,,CitySide,,
1000062,1000063,130040,1,도로시아,그건…,Dorothia_01,,,CitySide,,
1000063,1000064,130040,1,네모,이건 황명입니다. ‘전 병력은 도시 외성에서 철수하여 내성 수비에 집중하라.’,Nemo_01,,,CitySide,,
1000064,1000065,130040,1,네모,확실하지도 않은 일에 황명을 어기는 우를 벌이지 마십시오.,Nemo_01,,,CitySide,,
1000065,1000066,130040,1,도로시아,그래도… 만약 사람이 있다면요?,Dorothia_01,,,CitySide,,
1000066,1000067,130040,1,네모,안타까운 희생이 되는 것이지요.,Nemo_01,,,CitySide,,
1000067,1000068,130040,1,도로시아,전… 전… 내성으로 가지 않을 거예요.,Dorothia_01,,,CitySide,,
1000068,1000069,130040,1,네모,미치셨습니까?,Nemo_01,,,CitySide,,
1000069,1000070,130040,1,도로시아,제가 아니라 전사한 저의 선배 중 누구 하나라도 지금 이 자리에 있다면 저와 같은 결정을 내릴 겁니다.,Dorothia_01,,,CitySide,,
1000070,1000071,130040,1,도로시아,당신은 그분들에게도 미쳤다고 할 건가요?,Dorothia_01,,,CitySide,,
1000071,1000072,130040,1,네모,굳이 가시밭길을 걸을 작정입니까?,Nemo_01,,,CitySide,,
1000072,1000073,130040,1,도로시아,가시밭길이 아니예요. 길은 그냥 길이죠.,Dorothia_01,,,CitySide,,
1000073,1000074,130040,1,네모,"뭐, 좋습니다. 제가 감히 기사 나리를 붙잡을 수는 없으니, 한 가지 충고를 해드리죠.",Nemo_01,,,CitySide,,
1000074,1000075,130040,1,네모,최후에 증기 기사단을 쓰러뜨린 것은 단 하나의 시체였습니다.,Nemo_01,,,CitySide,,
1000075,1000076,130040,1,네모,변이 개체 '비스트'.,Nemo_01,Beast_00,,CitySide,,
1000076,,130040,1,네모,늑대의 모습을 한 인간이 보인다면 가능한 교전을 피하십시오.,Nemo_01,,,CitySide,,
1000077,1000078,130060,1,도로시아,비스트라는 녀석이 데우스 엑스 마키나님이 말하신 험한 것일까요?,Dorothia_01,,,CitySide,,
1000078,1000079,130060,1,데우스 엑스 마키나,그렇다. 그것은 명계의 축복받은 재능을 타고난 신체를 가졌다.,Deus_01,,,CitySide,,
1000079,1000080,130060,1,데우스 엑스 마키나,그렇기에 다른 그 어떠한 재앙보다 위험하다고 할 수 있느니라.,Deus_01,,,CitySide,,
1000080,1000081,130060,1,도로시아,제가 녀석을 쓰러트릴 수 있을까요?,Dorothia_01,,,CitySide,,
1000081,1000082,130060,1,데우스 엑스 마키나,추천하지는 않느니라. 하지만 의지가 충만하다면 능히 기적이 일어날 것이다.,Deus_01,,,CitySide,,
1000082,1000083,130060,1,도로시아,역시 지금은 힘들겠죠?,Dorothia_01,,,CitySide,,
1000083,1000084,130060,1,도로시아,그래도 꼭 선배님들의 복수를 할 거예요.,Dorothia_01,,,CitySide,,
1000084,,130060,1,도로시아,앗! 저기 시계탑이 보이네요!,Dorothia_01,,,CitySide,,
1000085,1000086,130060,2,도로시아,신디?,Dorothia_01,Sindy_00,,ClockTower_Front,,
1000086,1000087,130060,2,신디?,그르르르.,Sindy_01,,,ClockTower_Front,,
1000087,1000088,130060,2,도로시아,말도 안 돼. 신디! 밥 아저씨 기억해?,Dorothia_01,,,ClockTower_Front,,
1000088,1000089,130060,2,신디?,...바‥밥…?,Sindy_01,,,ClockTower_Front,,
1000089,1000090,130060,2,도로시아,"맞아, 너희 아버지…",Dorothia_01,,,ClockTower_Front,,
1000090,1000091,130060,2,신디?,X밥 허접… 견습 기사…,Sindy_01,,,ClockTower_Front,,
1000091,,130060,2,도로시아,정말 밥 아저씨의 딸 답네.,Dorothia_01,,,ClockTower_Front,,
1000092,1000093,130080,1,도로시아,데우스 엑스 마키나님…,Dorothia_01,,,ClockTower_Front,,
1000093,1000094,130080,1,데우스 엑스 마키나,……,Deus_01,,,ClockTower_Front,,
1000094,1000095,130080,1,도로시아,지금 제가 가고 있는 방향이 맞는 건가요?,Dorothia_01,,,ClockTower_Front,,
1000095,1000096,130080,1,도로시아,"저보다 몇 배는 뛰어났던 선배님들은 전부 전사했고,",Dorothia_01,,,ClockTower_Front,,
1000096,1000097,130080,1,도로시아,저는 고작 소녀 하나를 보호해준다는 약속도 지키지 못했어요.,Dorothia_01,,,ClockTower_Front,,
1000097,1000098,130080,1,도로시아,"존 맥고웰 경처럼 소설 속의 주인공이 된 줄 알았는데,",Dorothia_01,,,ClockTower_Front,,
1000098,1000099,130080,1,도로시아,전부 제 착각이었어요.,Dorothia_01,,,ClockTower_Front,,
1000099,1000100,130080,1,데우스 엑스 마키나,너의 잘못이 아니다.,Deus_01,,,ClockTower_Front,,
1000100,1000101,130080,1,도로시아,아니요! 데우스 엑스 마키나님은 제가 아닌 다른 사람에게 갔어야만 했어요.,Dorothia_01,,,ClockTower_Front,,
1000101,1000102,130080,1,도로시아,그러면 적어도 저보다는 더 나은 결과가 나왔을 테니까요.,Dorothia_01,,,ClockTower_Front,,
1000102,1000103,130080,1,데우스 엑스 마키나,"너는 화가가 그은 선 하나로 작품이 졸작이 될지, 걸작이 될지 알 수 있느냐?",Deus_01,,,ClockTower_Front,,
1000103,1000104,130080,1,데우스 엑스 마키나,아니면 처음 발을 디디는 산길이 어느 봉우리로 가는지 알 수 있더냐?,Deus_01,,,ClockTower_Front,,
1000104,1000105,130080,1,데우스 엑스 마키나,아직 너는 이 재앙의 1푼도 겪지 않았거늘 어찌 결과의 좋고 그름을 판단할 수 있느냐?,Deus_01,,,ClockTower_Front,,
1000105,1000106,130080,1,도로시아,전 어린 소녀조차 구하지 못한 기사입니다. 그런데 어찌 사도가 되어 세상을 구할 수 있겠어요.,Dorothia_01,,,ClockTower_Front,,
1000106,1000107,130080,1,데우스 엑스 마키나,너가 소녀를 구하지 못한 이유는 인간의 나약함 때문이다.,Deus_01,,,ClockTower_Front,,
1000107,1000108,130080,1,데우스 엑스 마키나,그리고 지금 너 자신을 부정하는 이유도 인간의 나약함 때문이니라.,Deus_01,,,ClockTower_Front,,
1000108,1000109,130080,1,도로시아,그렇다면…!,Dorothia_01,,,ClockTower_Front,,
1000109,1000110,130080,1,데우스 엑스 마키나,그리고 모든 인간은 나약하다. 착각하지 말 거라.,Deus_01,,,ClockTower_Front,,
1000110,1000111,130080,1,데우스 엑스 마키나,그대가 할 수 없는 일은 남들도 할 수 없느니라.,Deus_01,,,ClockTower_Front,,
1000111,1000112,130080,1,도로시아,그렇다면 왜 저죠? 론도니아의 250만 명의 사람 중에서 왜 하필 저냐고요!,Dorothia_01,,,ClockTower_Front,,
1000112,1000113,130080,1,데우스 엑스 마키나,그건 그대가 인빅투스 제국의 황궁이 아닌 시계탑으로 향하는 강함을 가지고 있기 때문이다.,Deus_01,,,ClockTower_Front,,
1000113,1000114,130080,1,데우스 엑스 마키나,그대는 이미 스스로를 증명했다.,Deus_01,,,ClockTower_Front,,
1000114,,130080,1,도로시아,그런데 왜 제 곁에는 아무도 없는 걸까요?,Dorothia_01,,,ClockTower_Front,,
1000115,1000116,130080,3,,끼이익!,,In_ClockTower,,ClockTower_Front,,
1000116,1000117,130080,3,꾀죄죄한 소녀,저… 누구세요?,Elly_01,,,ClockTower_Front,,
1000117,1000118,130080,3,도로시아,너희는 누구니?,Dorothia_01,,,ClockTower_Front,,
1000118,1000119,130080,3,엘리,저는 조명가게의 엘리라고 해요. 얘들은 저랑 같이 피신하러 온 얘들이에요.,Elly_01,,,ClockTower_Front,,
1000119,1000120,130080,3,도로시아,"안녕, 엘리? 나는 견습 기사 도로시아라고 해… 너희들을 도와주러 왔단다.",Dorothia_01,,,ClockTower_Front,,
1000120,1000121,130080,3,엘리,견습 기사…?,Elly_01,,,ClockTower_Front,,
1000121,1000122,130080,3,도로시아,견습… 이라고 해서 너무 실망할 필요 없어.,Dorothia_01,,,ClockTower_Front,,
1000122,1000123,130080,3,도로시아,수습 기간 동안 사고만 안 치면 무난하게 일반 기사가 될 수 있었거든.,Dorothia_01,,,ClockTower_Front,,
1000123,1000124,130080,3,엘리,신디 언니한테 들은 적 있어요! 남들은 부모 빽으로 잘 만 가는데 혼자 고생하는 견습 기사가 있다고...,Elly_01,,,ClockTower_Front,,
1000124,1000125,130080,3,도로시아,신디를 아니?,Dorothia_01,,,ClockTower_Front,,
1000125,1000126,130080,3,엘리,"네, 신디 언니랑 같이 여기로 몸을 피하기로 했어요.",Elly_01,,,ClockTower_Front,,
1000126,1000127,130080,3,엘리,"그런데, 이상한 사람들이 시계탑 안으로 들어가는 문을 가로막고 있어서...",Elly_01,,,ClockTower_Front,,
1000127,1000128,130080,3,엘리,신디 언니는 그 사람들을 유인하고는 아직 돌아오지 않았어요.,Elly_01,,,ClockTower_Front,,
1000128,1000129,130080,3,엘리,"도로시아 언니, 혹시 오시는 길에 신디 언니와 만났나요?",Elly_01,,,ClockTower_Front,,
1000129,1000130,130080,3,도로시아,신...디는… 물론이지! 너희를 잘 부탁한다고 했어.,Dorothia_01,,,ClockTower_Front,,
1000130,1000131,130080,3,엘리,다행이다…,Elly_01,,,ClockTower_Front,,
1000131,1000132,130080,3,도로시아,이제 언니랑 안전한 곳으로 가자. 모두 움직일 수 있지?,Dorothia_01,,,ClockTower_Front,,
1000132,,130080,3,아이들,네!,,,,ClockTower_Front,,
1000133,1000134,130100,1,도로시아,모두 힘들지?,Dorothia_01,,,ClockTower_Front,,
1000134,1000135,130100,1,엘리,저희는 괜찮아요.,Elly_01,,,ClockTower_Front,,
1000135,1000136,130100,1,도로시아,조금만 참아. 이제 곧 한동안 안전하게 지낼 수 있는 곳에 들어갈 수 있을 거야.,Dorothia_01,,,ClockTower_Front,,
1000136,1000137,130100,1,아이들,네!,,,,ClockTower_Front,,
1000137,1000138,130100,1,,늑대 우는 소리가 들린다.,,,,ClockTower_Front,,
1000138,1000139,130100,1,데우스 엑스 마키나,조심해라! 험한 것이 너희의 냄새를 맡았다.,Deus_01,,,ClockTower_Front,,
1000139,1000140,130100,1,도로시아,놈이 따라잡으려면 얼마나 걸릴까요?,Dorothia_01,,,ClockTower_Front,,
1000140,1000141,130100,1,데우스 엑스 마키나,길어봐야 3분이다.,Deus_01,,,ClockTower_Front,,
1000141,1000142,130100,1,도로시아,아직 조금 남았는데…,Dorothia_01,,,ClockTower_Front,,
1000142,1000143,130100,1,,다시금 늑대가 울부짖는다. 그 소리는 이전보다 명백하게 가까워졌다.,,,,ClockTower_Front,,
1000143,,130100,1,도로시아,애들아 뛰어!,Dorothia_01,,,ClockTower_Front,,
1000144,1000145,130100,2,도로시아,"좋아, 아이들은 전부 안가에 들어갔고… 이제 우리 둘만 남았네?",Dorothia_01,,,ClockTower_Front,,
1000145,1000146,130100,2,???,그르르…!,Beast_01,,,ClockTower_Front,,
1000146,1000147,130100,2,도로시아,여기서 널 물리치지 않으면 넌 기어코 아이들이 있는 곳까지 전부 파헤치겠지.,Dorothia_01,,,ClockTower_Front,,
1000147,1000148,130100,2,???,야드… 파운드…!,Beast_01,,,ClockTower_Front,,
1000148,,130100,2,도로시아,존 맥고웰 경과 증기 기사의 이름으로!,Dorothia_01,,,ClockTower_Front,,
1000149,1000150,130100,3,도로시아,해치웠…,Dorothia_01,,,ClockTower_Front,,
1000150,1000151,130100,3,데우스 엑스 마키나,잠깐! 그 금단의 주술은 인간이 사용하면 안 되느니라.,Deus_01,,,ClockTower_Front,,
1000151,1000152,130100,3,도로시아,…제가 뭘 하려고 했나요?,Dorothia_01,,,ClockTower_Front,,
1000152,1000153,130100,3,,짝짝짝!,,,,ClockTower_Front,,
1000153,1000154,130100,3,네모,대단하시군요. 설마하니 증기 기사단을 전멸시킨 ‘비스트’를 단독으로 쓰러뜨리시다니.”,Nemo_01,,,ClockTower_Front,,
1000154,1000155,130100,3,도로시아,당신은… 설마 계속 지켜보고 계셨던 건가요?,Dorothia_01,,,ClockTower_Front,,
1000155,1000156,130100,3,네모,그럴 리가요. 저의 임무는 재앙의 관찰과 혹시 모를 교두보 전투의 생존자를 찾는 것.,Nemo_01,,,ClockTower_Front,,
1000156,1000157,130100,3,네모,설마하니 당신이 기사단의 안가에 도착했을 뿐만 아니라 '비스트'를 물리칠 줄이야.,Nemo_01,,,ClockTower_Front,,
1000157,1000158,130100,3,네모,분명 저희가 파악하고 있는 당신의 능력치로는 불가능한 일이었을 텐데요.,Nemo_01,,,ClockTower_Front,,
1000158,1000159,130100,3,네모,아니면 당신 덕일 지도요. 일곱 번째 신성이여.,Nemo_01,,,ClockTower_Front,,
1000159,1000160,130100,3,데우스 엑스 마키나,……!,Deus_01,,,ClockTower_Front,,
1000160,1000161,130100,3,네모,……?,Deus_01,,,ClockTower_Front,,
1000161,1000162,130100,3,데우스 엑스 마키나,……!,Deus_01,,,ClockTower_Front,,
1000162,1000163,130100,3,네모,혹시 제가 헛다리 짚은 건가요?,Nemo_01,,,ClockTower_Front,,
1000163,1000164,130100,3,도로시아,"아, 아니에요. 데우스 엑스 마키나님도 깜짝 놀라셨는지 연신 ‘뭣이?’만 외치시고 계세요.",Dorothia_01,,,ClockTower_Front,,
1000164,1000165,130100,3,도로시아,어떻게 자신의 존재를 파악한 건지 궁금해하시는 거 같은데요.,Dorothia_01,,,ClockTower_Front,,
1000165,1000166,130100,3,네모,일곱 번째 신성과 최초로 조우하고 교류했던 인물이 존 맥고웰 경이니까요.,Nemo_01,,,ClockTower_Front,,
1000166,1000167,130100,3,네모,저희는 맥고웰 경이 남긴 기록을 통해 일곱 번째 신성께서 관심을 두고 있는 것을 예측했습니다.,Nemo_01,,,ClockTower_Front,,
1000167,1000168,130100,3,네모,기록과 다르게 사도를 통해서만 의지를 전할 수 있는 것을 보니 역시 신성의 순수성이 떨어지셨군요.,Nemo_01,,,ClockTower_Front,,
1000168,1000169,130100,3,도로시아,데우스 엑스 마키나님이 쓸데없는 소리는 하지 말라고 하시네요.,Dorothia_01,,,ClockTower_Front,,
1000169,1000170,130100,3,네모,바라시는 대로.,Nemo_01,,,ClockTower_Front,,
1000170,1000171,130100,3,도로시아,그래서 원하시는 게 뭐죠? 전투에 감탄했느니 뭐니 하는 이상한 소리는 하지 말고요.,Dorothia_01,,,ClockTower_Front,,
1000171,1000172,130100,3,네모,그렇다면 거두절미하고 본론으로 들어가겠습니다. 상황이 바뀌었습니다.,Nemo_01,,,ClockTower_Front,,
1000172,1000173,130100,3,도로시아,네?,Dorothia_01,,,ClockTower_Front,,
1000173,1000174,130100,3,네모,지금 이 재앙은 저희 인빅투스 제국뿐만 아니라 아메스트 대륙 전역을 휩쓸고 있는 중입니다.,Nemo_01,,,ClockTower_Front,,
1000174,1000175,130100,3,네모,"아니, 저희에게 재앙이 가장 늦게 도착했다고 할 수 있지요.",Nemo_01,,,ClockTower_Front,,
1000175,1000176,130100,3,네모,"아무튼, 이런 범인류적인 재앙이 일어난 와중에 신의 사도가 나타났습니다.",Nemo_01,,,ClockTower_Front,,
1000176,1000177,130100,3,네모,바보가 아닌 이상 신께서 인간에게 도움을 주려 한다는 것을 알 수 있겠죠.,Nemo_01,,,ClockTower_Front,,
1000177,1000178,130100,3,도로시아,그래서요?,Dorothia_01,,,ClockTower_Front,,
1000178,1000179,130100,3,네모,위대한 신성의 도움을 받을 일이 생겼습니다.,Nemo_01,,,ClockTower_Front,,
1000179,,130100,3,네모,"그러니, 거래를 합시다.",Nemo_01,,,ClockTower_Front,,
1000180,1000181,130101,1,,론도니아 철도 박물관, ,,,Museum,,
1000181,1000182,130101,1,도로시아,이곳이 철도 박물관...,Dorothia_01,,,Museum,,
1000182,1000183,130101,1,도로시아,전설의 퇴역기를 보관한 창고를 그대로 박물관으로 쓴다고 들었지만 상상이상의 규모네요.,Dorothia_01,,,Museum,,
1000183,1000184,130101,1,좀비,그어어...,Zombie,,,Museum,,
1000184,1000185,130101,1,도로시아,저기에 있는 언데드들을 정리하고 저희가 타야 하지만요.,Dorothia_01,,,Museum,,
1000185,1000186,130101,1,데우스 엑스 마키나,그러한 거래였으니 말이다.,Deus_01,,,Museum,,
1000186,1000187,130101,1,도로시아,아니!!!,Dorothia_01,,,Museum,,
1000187,1000188,130101,1,도로시아,아메스트 익스프레스라고요! 그 아메스트 익스프레스!!!,Dorothia_01,,,Museum,,
1000188,1000189,130101,1,도로시아,존 맥고웰 경이 태어났을 때 퇴역한 열차를 타라구요? 저거 굴러는 가요?,Dorothia_01,,,Museum,,
1000189,1000190,130101,1,데우스 엑스 마키나,음... 저 아이의 목소리가 들리는 구나.,Deus_01,,,Museum,,
1000190,1000191,130101,1,데우스 엑스 마키나,"분명 '죽ㅇ...'. 아니, 씩씩하게 자신의 임무를 다하고자 하느니라.",Deus_01,,,Museum,,
1000191,1000192,130101,1,도로시아,방금 죽여줘라고 한 거죠? 편히 보내줘야 하는 거죠?,Dorothia_01,,,Museum,,
1000192,1000193,130101,1,데우스 엑스 마키나,다행히 연료는 전부 채워져 있구나.,Deus_01,,,Museum,,
1000193,1000194,130101,1,데우스 엑스 마키나,전시용인지는 모르겠지만 대륙을 두 번은 왕복할 수 있는 양이니라.,Deus_01,,,Museum,,
1000194,1000195,130101,1,도로시아,이런 게 다 세금낭비인 거예요... 아무튼...!,Dorothia_01,,,Museum,,
1000195,1000196,130101,1,좀비들,그어어...,Zombie,,,Museum,,
1000196,,130101,1,도로시아,일단 길을 가로막은 언데드부터 처리하죠.,Dorothia_01,,,Museum,,
1000197,1000198,130120,1,도로시아,이제 슬슬 주변은 다 정리했네요.,Dorothia_01,,,ControlRoom,,
1000198,1000199,130120,1,도로시아,이제 기관실로 가서 메뉴얼에 따라 목적지를 설정하면...,Dorothia_01,,,ControlRoom,,
1000199,1000200,130120,1,도로시아,"아, 작동하네요.",Dorothia_01,,,ControlRoom,,
1000200,1000201,130120,1,데우스 엑스 마키나,정말 씩씩한 아이로구나.,Deus_01,,,ControlRoom,,
1000201,1000202,130120,1,도로시아,이제 객차로 가서 좀 쉬도록 하죠.,Dorothia_01,,,ControlRoom,,
1000202,1000203,130120,1,도로시아,유오 왕국을 경유해서 게르카니 공화국의 군수 공장으로 가려면 닷새는 넘게 있어야 하니까요.,Dorothia_01,,,ControlRoom,,
1000203,1000204,130120,1,데우스 엑스 마키나,중간에 있는 크라프 왕국으로 직통으로 갈 수 있었다면 이틀이면 도착했을 것이다.,Deus_01,,,ControlRoom,,
1000204,1000205,130120,1,도로시아,크라프 왕국과는 오랜 시간 적국이었으니까요.,Dorothia_01,,,ControlRoom,,
1000205,,130120,1,도로시아,그나저나 네모씨와의 거래는 이런 걸 감내할만한 거래가 맞았나요?,Dorothia_01,,,ControlRoom,,
1000206,1000207,130120,3,네모,재앙이 론도니아를 강타한 세 시간 동안 저희는 다각면으로 이번 재앙을 분석했습니다.,Nemo_01,,,Square,,
1000207,1000208,130120,3,네모,그 결과 이번 재앙에 대한 두 가지 사실을 입수할 수 있었습니다.,Nemo_01,,,Square,,
